name,director,production,year,category
Ma Plus Courte Histoire d'Amour,Karin Albou,Karel,2015,FEATURE FILM
Luciolle,Lucie Pages,Plus de prod,2020,SHORT FILMS
Sombres Couleurs,Ophelie Galant,Evil Ways,2019,SHORT FILMS
Les poux,Marc Lahore,Plus de prod,2018,SHORT FILMS
Le travail du castor (* Best cinematography Festival de Sulmona 2019),Steed Cavalieri,La Luna,2018,SHORT FILMS
La Signature,Steed Cavalieri,One cut,2015,SHORT FILMS
Entends Moi,Nicolas Coquet,Koklico,2015,SHORT FILMS
Septembre a Larmes,Jacques Lacaze,Autoprod,2013,SHORT FILMS
1X2=3,Dir lisa Fusch,Autoprod,2013,SHORT FILMS
Live Station,Ingrid Franchi,Akatimi,2013,SHORT FILMS
Rêves d’Enfants,Nicolas Coquet,Koklico,2011,SHORT FILMS
Le Truc,Olivier Sadock,Uns Film,2010,SHORT FILMS
Cina,Ingrid Franchi,Florian Sa,2010,SHORT FILMS
L’Album,Shiraz Fraadi,Jilani Saadi,2009,SHORT FILMS
Ladies Vengeance,Nicolas Bertyac,Autoprod,2009,SHORT FILMS
Le Tournant,Sylvain Bes,One cut,2008,SHORT FILMS
Un Seducteur Bien Sournois,Cedric Baud,Real et Chefop,2007,SHORT FILMS
Gutturis,Gregory Audermatt,Autoprod,2007,SHORT FILMS
Cartier,Guillaume Gasquet,Agence Marianne,2018,COMMERCIAL
Perene,Christophe Carry,Josephine,2018,COMMERCIAL
Umami,Q. Gaillard,,2016,COMMERCIAL
Reves de Cinema,Jeremy Frey,Fulldawa,2016,COMMERCIAL
Carrefour,Raphael Lopez,Jmage,2016,COMMERCIAL
Roc Eclerc,Jeremy Frey,Sixtine,2016,COMMERCIAL
Charal,Quentin D,Umami,2016,COMMERCIAL
Be Joe,David Ravel,Creazz,2016,COMMERCIAL
Teaser UEFA,Laurent Volloch,Ilot Prod,2016,COMMERCIAL
Tefal,Brice Bellier,Alunites,2016,COMMERCIAL
Rowenta,Brice Bellier,Alunites,2016,COMMERCIAL
Somfy,Dir Thibault Arcis,Alunites,2016,COMMERCIAL
Pilot,David Ravel,Creazz,2016,COMMERCIAL
Manitowok,David Ravel,Creazz,2016,COMMERCIAL
Somfy,Dir Brice Bellier,Alunites,2015,COMMERCIAL
Somfy,Dir Thibault Arcis,Alunites,2015,COMMERCIAL
Teaser Handball,Jeremy Frey,Jmage,2015,COMMERCIAL
Air France,Jeremy Frey,Jmage,2015,COMMERCIAL
SIemens,Jeremy Frey,Jmage,2015,COMMERCIAL
Seb,Thibault Arcis,Alunites,2015,COMMERCIAL
Klorane,Jeremy Frey,Jmage,2015,COMMERCIAL
Bic,Vincent Lacote,One cut,2013,COMMERCIAL
Roure,Vincent Lacote,One cut,2012,COMMERCIAL
Bottle Next,A. Fanget,,2017,MUSIC VIDEO
All the luck in the world – Contrains,T. Vernay,Cumulus,2017,MUSIC VIDEO
Faraby – Idylle,Mickael Fournier,Gramophone,2016,MUSIC VIDEO
Kyani - Omg,Pascal Daniel,Red film,2012,MUSIC VIDEO
Sadek – On Dit Quoi Gros,Alexis Regier,Artbrekearz,2012,MUSIC VIDEO
Sultan – 2092,,Sultan,2012,MUSIC VIDEO
Deja vu – 1967,Morgan Rauscent,Deja vu,2009,MUSIC VIDEO
Abou Lagraa,Fleur Albert,Films du Sillage,2018,DOCUMENTARY
Zica,M. Clark,Docu Arte,2017,DOCUMENTARY
La Tondue de Chartes (*Prix de la mise en Image au festival de Luchon),P.Cabouat,Docu Arte,2017,DOCUMENTARY